국가명,기간,수입금액(천불),수입중량(톤),수출금액(천불),수출중량(톤),품목명
인도네시아,2021,0.0,0.0,3.0,6.0,철
일본,2021,1.0,0.0,0.0,0.0,철
중국,2021,9908.0,32704.0,17432.0,302511.0,철
칠레,2021,118742.0,599128.0,0.0,0.0,철
캐나다,2021,678680.0,3912920.0,0.0,0.0,철
태국,2021,,,,,철
프랑스,2021,0.0,0.0,0.0,0.0,철
필리핀,2021,1.0,13.0,0.0,0.0,철
호주,2021,8517308.0,55285371.0,0.0,0.0,철
남아프리카공화국,2022,743878.0,4574715.0,0.0,0.0,철
네덜란드,2022,50.0,120.0,0.0,0.0,철
독일,2022,0.0,0.0,0.0,0.0,철
러시아연방,2022,16742.0,77899.0,0.0,0.0,철
모리타니,2022,2.0,0.0,0.0,0.0,철
미국,2022,0.0,0.0,0.0,0.0,철
바레인,2022,118515.0,507538.0,0.0,0.0,철
베트남,2022,,,,,철
볼리비아,2022,,,,,철
브라질,2022,1486113.0,8908151.0,0.0,0.0,철
스웨덴,2022,,,,,철
스페인,2022,0.0,0.0,0.0,0.0,철
싱가포르,2022,3.0,19.0,0.0,0.0,철
영국,2022,0.0,0.0,0.0,0.0,철
오만,2022,0.0,0.0,0.0,0.0,철
우루과이,2022,8.0,0.0,0.0,0.0,철
우크라이나,2022,0.0,0.0,0.0,0.0,철
이탈리아,2022,,,,,철
인도,2022,14710.0,69041.0,0.0,0.0,철
인도네시아,2022,,,,,철
일본,2022,,,,,철
중국,2022,12071.0,69293.0,14312.0,275074.0,철
칠레,2022,312927.0,1372525.0,0.0,0.0,철
캐나다,2022,702156.0,4672374.0,0.0,0.0,철
태국,2022,1.0,0.0,0.0,0.0,철
프랑스,2022,8.0,1.0,0.0,0.0,철
필리핀,2022,0.0,0.0,0.0,0.0,철
호주,2022,5513266.0,46170991.0,0.0,0.0,철
네덜란드,2021,42.0,48.0,0.0,0.0,알루미늄
미국,2021,0.0,0.0,0.0,0.0,알루미늄
브라질,2021,0.0,0.0,0.0,0.0,알루미늄
싱가포르,2021,0.0,0.0,0.0,0.0,알루미늄
인도,2021,279.0,2334.0,0.0,0.0,알루미늄
인도네시아,2021,0.0,0.0,14.0,116.0,알루미늄
일본,2021,0.0,0.0,0.0,0.0,알루미늄
중국,2021,9858.0,25910.0,31.0,40.0,알루미늄
파키스탄,2021,,,,,알루미늄
프랑스,2021,0.0,0.0,0.0,0.0,알루미늄
호주,2021,22947.0,396248.0,0.0,0.0,알루미늄
홍콩,2021,,,,,알루미늄
네덜란드,2022,0.0,0.0,0.0,0.0,알루미늄
미국,2022,0.0,0.0,0.0,0.0,알루미늄
브라질,2022,,,,,알루미늄
싱가포르,2022,,,,,알루미늄
인도,2022,31.0,220.0,0.0,0.0,알루미늄
인도네시아,2022,0.0,0.0,46.0,478.0,알루미늄
일본,2022,,,,,알루미늄
중국,2022,9108.0,21591.0,0.0,0.0,알루미늄
파키스탄,2022,0.0,0.0,0.0,0.0,알루미늄
프랑스,2022,,,,,알루미늄
호주,2022,24011.0,395951.0,0.0,0.0,알루미늄
홍콩,2022,0.0,0.0,0.0,0.0,알루미늄
네덜란드,2021,,,,,텅스텐
르완다,2021,,,,,텅스텐
미국,2021,0.0,0.0,0.0,0.0,텅스텐
베트남,2021,0.0,0.0,83.0,7.0,텅스텐
싱가포르,2021,3.0,0.0,0.0,0.0,텅스텐
일본,2021,0.0,0.0,1.0,0.0,텅스텐
중국,2021,57.0,1.0,0.0,0.0,텅스텐
포루투갈,2021,1.0,0.0,0.0,1.0,텅스텐
네덜란드,2022,1.0,0.0,0.0,0.0,텅스텐
르완다,2022,0.0,0.0,0.0,0.0,텅스텐
미국,2022,0.0,0.0,0.0,0.0,텅스텐
베트남,2022,0.0,0.0,3558.0,1225.0,텅스텐
싱가포르,2022,,,,,텅스텐
일본,2022,557.0,39.0,0.0,0.0,텅스텐
중국,2022,49.0,1.0,0.0,0.0,텅스텐
포루투갈,2022,0.0,0.0,1.0,16.0,텅스텐
네덜란드,2021,2.0,0.0,3197.0,140.0,몰리브덴
대만,2021,514.0,37.0,8808.0,476.0,몰리브덴
독일,2021,5.0,0.0,0.0,0.0,몰리브덴
